dataset,transition,kind,n_fixed_mut,n_100,r_100,r_100_null,r_100_sim_latent,r_100_sim_noisy,r_100_w,n_95,cut_95,r_95,r_95_null,r_95_sim_latent,r_95_sim_noisy,n_90,cut_90,r_90,r_90_null,r_90_sim_latent,r_90_sim_noisy,sim_t,sim_walks,sim_walk_len,excluded
Limdi Ara-6,REL606 -> Ara-6,evolved,90,3366,0.812,0.9731,0.8673,0.8373,0.7302,3198,0.2387,0.6347,0.8398,0.5886,0.5053,3030,0.07793,0.3199,0.5809,0.2788,0.2134,peak,500,19.0,
Limdi rep,Ara+1 green -> red,control,0,3353,0.9791,0.9694,,,0.9776,3186,0.2443,0.9467,0.9053,,,3018,0.08481,0.7966,0.6343,,,,,,
Limdi Ara+1,REL607 -> Ara+1,evolved,125,3288,0.8892,0.9788,0.8303,0.8091,0.7908,3124,0.2753,0.6499,0.9093,0.5424,0.4945,2960,0.09691,0.2812,0.6272,0.2422,0.208,peak,500,23.0,
Limdi rep,Ara+2 green -> red,control,0,3448,0.9739,0.9632,,,0.9699,3276,0.2672,0.9329,0.8783,,,3104,0.09432,0.7829,0.596,,,,,,
Limdi Ara+2,REL607 -> Ara+2,evolved,70,3376,0.8862,0.9793,0.8289,0.8038,0.7615,3208,0.2853,0.6498,0.9044,0.5432,0.4863,3039,0.09545,0.2979,0.6311,0.2469,0.2013,peak,500,23.0,
Limdi rep,Ara+3 green -> red,control,0,3479,0.9743,0.9689,,,0.9704,3306,0.3448,0.9521,0.9308,,,3132,0.1813,0.8168,0.7167,,,,,,
Limdi Ara+3,REL607 -> Ara+3,evolved,1800,3395,0.8679,0.9799,0.831,0.8044,0.7537,3226,0.284,0.6421,0.9262,0.545,0.4834,3056,0.09648,0.2834,0.6449,0.2454,0.1985,peak,500,23.0,
Limdi rep,Ara+4 green -> red,control,0,3419,0.8936,0.9156,,,0.958,3249,0.402,0.8239,0.8517,,,3078,0.2824,0.7009,0.735,,,,,,poor technical replicates
Limdi Ara+4,REL607 -> Ara+4,evolved,70,3318,0.7287,0.9564,0.8303,0.7683,0.6716,3153,0.2863,0.3652,0.832,0.5413,0.4097,2987,0.09853,0.1332,0.531,0.2372,0.1508,peak,500,23.0,poor technical replicates
Limdi rep,Ara+5 green -> red,control,0,3400,0.9708,0.9634,,,0.9724,3230,0.2985,0.9302,0.8913,,,3060,0.09775,0.6986,0.5836,,,,,,
Limdi Ara+5,REL607 -> Ara+5,evolved,80,3346,0.8884,0.9802,0.8302,0.8047,0.7685,3179,0.284,0.6246,0.9119,0.5408,0.4831,3012,0.09648,0.24,0.6236,0.2408,0.198,peak,500,23.0,
Limdi rep,Ara+6 green -> red,control,0,3521,0.9633,0.9584,,,0.9699,3345,0.3501,0.937,0.919,,,3169,0.1891,0.8325,0.759,,,,,,
Limdi Ara+6,REL607 -> Ara+6,evolved,2600,3373,0.82,0.9741,0.8298,0.8008,0.6594,3205,0.2753,0.5016,0.8955,0.5445,0.4776,3036,0.09381,0.1369,0.6368,0.2425,0.1938,peak,500,23.0,
