background,x,s,tail_count,short_common_mu_extrapolated_count,full_range_fit_count
REL606,0.04517625489586328,-0.04517625489586328,459,472.8619367485238,450.81462799121607
REL606,0.04617444431859572,-0.04617444431859572,454,467.4505084261883,444.01450323413115
REL606,0.047194689180096845,-0.047194689180096845,445,462.101008447439,437.3169521156121
REL606,0.048237476805085,-0.048237476805085,438,456.8127281047944,430.72042740649727
REL606,0.04930330528593471,-0.04930330528593471,436,451.5849668012148,424.22340521615627
REL606,0.05039268372059277,-0.05039268372059277,430,446.4170319572888,417.8243846404494
REL606,0.051506132455751245,-0.051506132455751245,426,441.30823891947836,411.5218874149986
REL606,0.052644183335393634,-0.052644183335393634,424,436.25791086941393,405.3144575736858
REL606,0.053807379954832514,-0.053807379954832514,424,431.26537873423143,399.20066111230494
REL606,0.05499627792036037,-0.05499627792036037,416,426.32998109793124,393.17908565728777
REL606,0.056211445114637534,-0.056211445114637534,411,421.45106411375235,387.2483401394245
REL606,0.0574534619679441,-0.0574534619679441,409,416.6279814175524,381.407054472506
REL606,0.058722921735425045,-0.058722921735425045,404,411.86009404217367,375.65387923681686
REL606,0.06002043078046128,-0.06002043078046128,400,407.1467703327949,369.9874853673992
REL606,0.061346608864302085,-0.061346608864302085,392,402.4873858632476,364.4065638470185
REL606,0.0627020894420969,-0.0627020894420969,389,397.8813233532904,358.909825403765
REL606,0.06408751996546806,-0.06408751996546806,382,393.3279725868332,353.49600021321055
REL606,0.06550356219176914,-0.06550356219176914,381,388.8267303310942,348.1638376050638
REL606,0.0669508925001765,-0.0669508925001765,378,384.37700025668187,342.91210577424545
REL606,0.06843020221476491,-0.06843020221476491,375,379.97819285859475,337.7395914963256
REL606,0.06994219793472167,-0.06994219793472167,372,375.6297253781205,332.6450998472507
REL606,0.071487601871857,-0.071487601871857,369,371.3310217256353,327.62745392729994
REL606,0.07306715219557204,-0.07306715219557204,369,367.08151240427844,322.68549458920336
REL606,0.0746816033854488,-0.0746816033854488,368,362.88063443450716,317.81808017036354
REL606,0.07633172659163069,-0.07633172659163069,365,358.7278312795129,313.0240862291157
REL606,0.07801831000316634,-0.07801831000316634,360,354.62255277149,308.30240528496506
REL606,0.07974215922449152,-0.07974215922449152,356,350.56425503874794,303.6519465627426
REL606,0.08150409766022985,-0.08150409766022985,355,346.5524004336605,299.071635740622
REL606,0.08330496690849597,-0.08330496690849597,352,342.5864574614368,294.5604147019353
REL606,0.08514562716288879,-0.08514562716288879,350,338.6659007097071,290.11724129073235
REL606,0.08702695762336701,-0.08702695762336701,345,334.7902107789178,285.74108907102925
REL606,0.08894985691620291,-0.08894985691620291,340,330.9588742135198,281.43094708968636
REL606,0.09091524352321548,-0.09091524352321548,335,327.17138343394413,277.1858196428642
REL606,0.09292405622048769,-0.09292405622048769,330,323.4272366693597,273.00472604600105
REL606,0.09497725452677712,-0.09497725452677712,328,319.7259378911966,268.88670040726146
REL606,0.09707581916183444,-0.09707581916183444,324,316.06699674743135,264.8307914044018
REL606,0.09922075251484909,-0.09922075251484909,322,312.4499284976262,260.8360620650013
REL606,0.10141307912324497,-0.10141307912324497,315,308.87425394870826,256.9015895500069
REL606,0.10365384616205542,-0.10365384616205542,311,305.3394993914873,253.0264649405466
REL606,0.10594412394411153,-0.10594412394411153,307,301.8451965378966,249.20979302795394
REL606,0.10828500643128176,-0.10828500643128176,304,298.3908824589548,245.45069210696406
REL606,0.11067761175700826,-0.11067761175700826,300,294.97609952343663,241.74829377202624
REL606,0.11312308276038811,-0.11312308276038811,293,291.6003953372439,238.10174271669047
REL606,0.11562258753205626,-0.11562258753205626,289,288.263322683474,234.51019653601847
REL606,0.1181773199721289,-0.1181773199721289,287,284.96443946317083,230.972825531978
REL606,0.12078850036047596,-0.12078850036047596,284,281.7033086367546,227.48881252176895
REL606,0.12345737593959305,-0.12345737593959305,280,278.4794981661241,224.05735264904436
REL606,0.12618522151035305,-0.12618522151035305,279,275.2925809574183,220.67765319797525
REL606,0.1289733400409202,-0.1289733400409202,275,272.1421348044346,217.3489334101247
REL606,0.1318230632891195,-0.1318230632891195,274,269.0277423326955,214.07042430407796
REL606,0.13473575243855665,-0.13473575243855665,271,265.9489909441539,210.84136849780035
REL606,0.13771279874879377,-0.13771279874879377,265,262.90547276253056,207.6610200336696
REL606,0.14075562421989132,-0.14075562421989132,264,259.8967845792802,204.52864420614864
REL606,0.14386568227163257,-0.14386568227163257,262,256.9225278001728,201.4435173920595
REL606,0.14704445843775696,-0.14704445843775696,261,253.98230839248708,198.40492688341547
REL606,0.15029347107553154,-0.15029347107553154,257,251.07573683280987,195.41217072277487
REL606,0.15361427209100212,-0.15361427209100212,252,248.20242805543015,192.46455754108013
REL606,0.15700844768026767,-0.15700844768026767,247,245.3620014013267,189.5614063979411
REL606,0.16047761908713512,-0.16047761908713512,244,242.55408056773635,186.70204662432778
REL606,0.16402344337751312,-0.16402344337751312,242,239.77829355830247,183.88581766763733
REL606,0.16764761423091815,-0.16764761423091815,240,237.03427263379183,181.11206893909576
REL606,0.171351862749468,-0.171351862749468,237,234.3216542633755,178.380159663464
REL606,0.1751379582847506,-0.1751379582847506,234,231.64007907646914,175.6894587310091
REL606,0.17900770928296364,-0.17900770928296364,231,228.98919181512252,173.0393445517085
REL606,0.18296296414872668,-0.18296296414872668,230,226.36864128695416,170.42920491165506
REL606,0.1870056121279809,-0.1870056121279809,228,223.7780803186259,167.85843683162577
REL606,0.19113758421039548,-0.19113758421039548,220,221.2171657098487,165.32644642778595
REL606,0.19536085405171466,-0.19536085405171466,217,218.68555818791424,162.83264877449324
REL606,0.19967743891648287,-0.19967743891648287,215,216.1829223627491,160.37646776917165
REL606,0.20408940064160117,-0.20408940064160117,209,213.70892668248123,157.95733599922323
REL606,0.20859884662117262,-0.20859884662117262,205,211.26324338951505,155.57469461094863
REL606,0.21320793081310957,-0.21320793081310957,200,208.8455484771109,153.2279931804429
REL606,0.21791885476798137,-0.21791885476798137,195,206.45552164645974,150.91668958644078
REL606,0.222733868680595,-0.222733868680595,191,204.0928462642491,148.64024988507856
REL606,0.22765527246481185,-0.22765527246481185,188,201.75720932071607,146.39814818654503
REL606,0.23268541685211144,-0.23268541685211144,183,199.4483013881792,144.18986653359454
REL606,0.23782670451443017,-0.23782670451443017,178,197.16581658004444,142.01489478189035
REL606,0.2430815912118078,-0.2430815912118078,175,194.90945251028214,139.87273048215528
REL606,0.24845258696539377,-0.24845258696539377,173,192.67891025336547,137.76287876409756
REL606,0.2539422572563694,-0.2539422572563694,165,190.47389430466941,135.68485222208983
