background,x,s,tail_count,common_mu_fit_count,individual_mu_fit_count
Ara-1,0.016060806094763087,-0.016060806094763087,788,787.756331431404,782.8520818052443
Ara-1,0.016345128957172897,-0.016345128957172897,778,780.5096171456199,776.0380976305274
Ara-1,0.016634485159105764,-0.016634485159105764,769,773.3295667073278,769.2834227192229
Ara-1,0.016928963805273624,-0.016928963805273624,760,766.2155668636274,762.5875408404985
Ara-1,0.017228655577800345,-0.017228655577800345,749,759.1670100030416,755.9499402568206
Ara-1,0.01753365276414644,-0.01753365276414644,742,752.1832941036226,749.3701136848447
Ara-1,0.017844049285528227,-0.017844049285528227,736,745.2638226815336,742.8475582566474
Ara-1,0.01815994072584002,-0.01815994072584002,728,738.4080047401021,736.3817754812908
Ara-1,0.018481424361088364,-0.018481424361088364,724,731.6152547193378,729.97227120673
Ara-1,0.018808599189347356,-0.018808599189347356,720,724.8849924459279,723.6185555820423
Ara-1,0.01914156596124418,-0.01914156596124418,714,718.2166430836788,717.3201430199936
Ara-1,0.019480427210984426,-0.019480427210984426,705,711.6096370844189,711.0765521599257
Ara-1,0.019825287287926586,-0.019825287287926586,696,705.063410139354,704.8873058309673
Ara-1,0.020176252388715517,-0.020176252388715517,689,698.5774031308717,698.7519310155676
Ara-1,0.02053343058998481,-0.02053343058998481,681,692.1510620847824,692.6699588133426
Ara-1,0.020896931881637992,-0.020896931881637992,674,685.7838381230065,686.6409244052427
Ara-1,0.02126686820071898,-0.02126686820071898,666,679.4751874166955,680.664367018027
Ara-1,0.021643353465882118,-0.021643353465882118,663,673.22457113978,674.7398298890463
Ara-1,0.022026503612472412,-0.022026503612472412,659,667.0314554229504,668.8668602313384
Ara-1,0.02241643662822685,-0.02241643662822685,656,660.8953113080596,663.0450091990214
Ara-1,0.022813272589607633,-0.022813272589607633,652,654.815614702941,657.2738318529904
Ara-1,0.023217133698778706,-0.023217133698778706,643,648.7918463366497,651.5528871269137
Ara-1,0.023628144321236846,-0.023628144321236846,642,642.8234917151067,645.8817377935217
Ara-1,0.02404643102410891,-0.02404643102410891,635,636.9100410771603,640.2599504311951
Ara-1,0.024472122615127125,-0.024472122615127125,629,631.0509893510429,634.6870953908364
Ara-1,0.02490535018229423,-0.02490535018229423,627,625.2458361112342,629.162746763037
Ara-1,0.025346247134250932,-0.025346247134250932,620,619.4940855357218,623.6864823455251
Ara-1,0.025794949241357907,-0.025794949241357907,613,613.7952463636481,618.2578836108985
Ara-1,0.026251594677505093,-0.026251594677505093,610,608.1488318533542,612.8765356746396
Ara-1,0.02671632406266118,-0.02671632406266118,607,602.5543597408082,607.5420272634047
Ara-1,0.027189280506176233,-0.027189280506176233,599,597.0113521984114,602.2539506835963
Ara-1,0.02767060965085098,-0.02767060965085098,595,591.5193357941884,597.0119017902017
Ara-1,0.028160459717786277,-0.028160459717786277,587,586.0778414513519,591.8154799559061
Ara-1,0.028658981552026445,-0.028658981552026445,584,580.6864044082383,586.6642880404764
Ara-1,0.029166328669010762,-0.029166328669010762,578,575.3445641786083,581.5579323604078
Ara-1,0.029682657301847097,-0.029682657301847097,574,570.0518645123227,576.4960226588369
Ara-1,0.030208126449422605,-0.030208126449422605,572,564.8078533563688,571.4781720757145
Ara-1,0.030742897925366015,-0.030742897925366015,566,559.6120828162535,566.5039971182425
Ara-1,0.03128713640787672,-0.03128713640787672,563,554.4641091177452,561.5731176315633
Ara-1,0.03184100949043604,-0.03184100949043604,557,549.3634925689745,556.685156769705
Ara-1,0.03240468773341604,-0.03240468773341604,553,544.3097975228758,551.8397409667837
Ara-1,0.03297834471660228,-0.03297834471660228,551,539.302592339981,547.0364999084513
Ara-1,0.033562157092646046,-0.033562157092646046,549,534.3414493515533,542.2750665035945
Ara-1,0.03415630464146305,-0.03415630464146305,545,529.4259448230573,537.5550768562804
Ara-1,0.03476097032559513,-0.03476097032559513,539,524.5556589179691,532.8761702379429
Ara-1,0.03537634034655181,-0.03537634034655181,536,519.7301756619191,528.2379890598179
Ara-1,0.036002604202149624,-0.036002604202149624,530,514.9490829071597,523.6401788456097
Ara-1,0.036639954744866185,-0.036639954744866185,525,510.2119722973675,519.0823882044041
Ara-1,0.037288588241227424,-0.037288588241227424,519,505.5184392327624,514.5642688038104
Ara-1,0.03794870443224625,-0.03794870443224625,516,500.8680828355512,510.0854753433408
Ara-1,0.038620506594930853,-0.038620506594930853,513,496.2605059156904,505.64566552802097
Ara-1,0.03930420160488233,-0.03930420160488233,510,491.695314936958,501.2445000422279
Ara-1,0.04,-0.04,503,487.1721199833457,496.8816425237608
Ara-3,0.01,-0.01,891,1005.0369789479735,896.8894482170634
Ara-3,0.010177029011328716,-0.010177029011328716,888,995.7914603244045,891.2037301603161
Ara-3,0.010357191949742633,-0.010357191949742633,884,986.6309929142818,885.5540559993746
