background,x,s,tail_count,individual_fit_count,common_fit_count
REL606,0.026251594677505093,-0.026251594677505093,621,618.6267171932884,629.3549362958271
REL606,0.02671632406266118,-0.02671632406266118,609,612.2563365272023,623.5653853576628
REL606,0.027189280506176233,-0.027189280506176233,602,605.951555597925,617.8290935553725
REL606,0.02767060965085098,-0.02767060965085098,596,599.711698884527,612.145570948445
REL606,0.028160459717786277,-0.028160459717786277,585,593.5360978223342,606.5143321034193
REL606,0.028658981552026445,-0.028658981552026445,581,587.4240907312956,600.9348960524255
REL606,0.029166328669010762,-0.029166328669010762,573,581.3750227450854,595.4067862521066
REL606,0.029682657301847097,-0.029682657301847097,562,575.3882457409438,589.9295305429133
REL606,0.030208126449422605,-0.030208126449422605,553,569.4631182702263,584.5026611087782
REL606,0.030742897925366015,-0.030742897925366015,549,563.599005489685,579.1257144371606
REL606,0.03128713640787672,-0.03128713640787672,547,557.7952790934403,573.7982312794552
REL606,0.03184100949043604,-0.03184100949043604,543,552.0513172456673,568.5197566117681
REL606,0.03240468773341604,-0.03240468773341604,536,546.3665045139694,563.2898395960549
REL606,0.03297834471660228,-0.03297834471660228,535,540.7402318034336,558.1080335416111
REL606,0.033562157092646046,-0.033562157092646046,531,535.1718962913751,552.9738958669216
REL606,0.03415630464146305,-0.03415630464146305,529,529.6609013627451,547.8869880618608
REL606,0.03476097032559513,-0.03476097032559513,522,524.2066565462077,542.8468756502361
REL606,0.03537634034655181,-0.03537634034655181,516,518.8085774508746,537.8531281526823
REL606,0.036002604202149624,-0.036002604202149624,513,513.4660857036905,532.9053190498907
REL606,0.036639954744866185,-0.036639954744866185,509,508.1786088874641,528.0030257461835
REL606,0.037288588241227424,-0.037288588241227424,507,502.94558047953683,523.1458295334163
REL606,0.03794870443224625,-0.03794870443224625,504,497.76643979108303,518.3333155552173
REL606,0.038620506594930853,-0.038620506594930853,502,492.6406319070357,513.5650727715554
REL606,0.03930420160488233,-0.03930420160488233,498,487.56760762663026,508.8406939236302
REL606,0.04,-0.04,495,482.54682340456094,504.15977549909115
REL607,0.01,-0.01,1141,1168.9985213813256,1124.4362935244988
REL607,0.010177029011328716,-0.010177029011328716,1138,1157.105609271197,1114.09239881161
REL607,0.010357191949742633,-0.010357191949742633,1129,1145.3336907772907,1103.843659474306
REL607,0.010540544294843095,-0.010540544294843095,1122,1133.6815349601156,1093.6892001609165
REL607,0.010727142508381356,-0.010727142508381356,1111,1122.1479234032552,1083.6281535722937
REL607,0.010917044051645456,-0.010917044051645456,1099,1110.7316500859642,1073.6596603877313
REL607,0.011110307403154938,-0.011110307403154938,1096,1099.4315212570582,1063.7828691915693
REL607,0.011306992076668802,-0.011306992076668802,1086,1088.246355310086,1053.9969364004792
REL607,0.011507158639512226,-0.011507158639512226,1078,1077.174982659779,1044.3010261914085
REL607,0.01171086873122778,-0.01171086873122778,1067,1066.2162456197498,1034.694310430192
REL607,0.011918185082556742,-0.011918185082556742,1060,1055.3689982814362,1025.175968600822
REL607,0.01212917153475651,-0.01212917153475651,1049,1044.632106394281,1015.7451877353709
REL607,0.012343893059259944,-0.012343893059259944,1038,1034.0044472471286,1006.401162344545
REL607,0.012562415777682757,-0.012562415777682757,1030,1023.4849095508275,997.1430943489
REL607,0.0127848069821851,-0.0127848069821851,1013,1013.0723933220235,987.9701930106656
REL607,0.013011135156193569,-0.013011135156193569,1004,1002.7658097681455,978.8816748662164
REL607,0.013241469995490094,-0.013241469995490094,991,992.5640811735518,969.876763659148
REL607,0.01347588242967414,-0.01347588242967414,980,982.4661407868368,960.9546902739838
REL607,0.013714444644004856,-0.013714444644004856,971,972.4709327092863,952.1146926704788
REL607,0.013957230101629914,-0.013957230101629914,964,962.5774117844693,943.3560158185347
REL607,0.014204313566207808,-0.014204313566207808,954,952.7845434889476,934.6779116337151
REL607,0.01445577112493069,-0.01445577112493069,950,943.0913038240989,926.0796389133492
REL607,0.014711680211954759,-0.014711680211954759,939,933.4966792090452,917.5604632732204
REL607,0.014972119632245416,-0.014972119632245416,926,923.9996663746656,909.1196570848513
REL607,0.015237169585844574,-0.015237169585844574,918,914.5992722586866,900.7564994133513
REL607,0.01550691169256758,-0.01550691169256758,910,905.2945139018426,892.4702759558373
REL607,0.015781429017137274,-0.015781429017137274,900,896.0844183450979,884.2602789804331
REL607,0.016060806094763087,-0.016060806094763087,896,886.9680225278984,876.1258072658167
REL607,0.016345128957172897,-0.016345128957172897,885,877.9443731874746,868.0661660413272
REL607,0.016634485159105764,-0.016634485159105764,878,869.0125267591637,860.080666927626
REL607,0.016928963805273624,-0.016928963805273624,869,860.1715492777428,852.168627877904
REL607,0.017228655577800345,-0.017228655577800345,856,851.4205162797673,844.3293731196228
REL607,0.01753365276414644,-0.01753365276414644,853,842.7585127069044,836.5622330967992
REL607,0.017844049285528227,-0.017844049285528227,845,834.1846328102542,828.8665444128189
REL607,0.01815994072584002,-0.01815994072584002,836,825.6979800556302,821.2416497737751
REL607,0.018481424361088364,-0.018481424361088364,826,817.29766702982,813.686897932323
REL607,0.018808599189347356,-0.018808599189347356,815,808.98281534779,806.2016436320655
REL607,0.01914156596124418,-0.01914156596124418,805,800.7525555608348,798.7852475524363
REL607,0.019480427210984426,-0.019480427210984426,796,792.6060270656629,791.437076254094
REL607,0.019825287287926586,-0.019825287287926586,789,784.5423780144127,784.1565021248214
REL607,0.020176252388715517,-0.020176252388715517,782,776.5607652255696,776.9429033259228
REL607,0.02053343058998481,-0.02053343058998481,767,768.6603540958029,769.7956637391081
REL607,0.020896931881637992,-0.020896931881637992,761,760.8403185126955,762.714172913872
REL607,0.02126686820071898,-0.02126686820071898,756,753.0998407683603,755.6978260153562
REL607,0.021643353465882118,-0.021643353465882118,752,745.4381114739325,748.7460237726874
REL607,0.022026503612472412,-0.022026503612472412,747,737.8543294749413,741.8581724277942
REL607,0.02241643662822685,-0.02241643662822685,739,730.3477017675305,735.0336836846958
REL607,0.022813272589607633,-0.022813272589607633,734,722.9174434155427,728.2719746592513
REL607,0.023217133698778706,-0.023217133698778706,726,715.5627774684372,721.5724678293798
REL607,0.023628144321236846,-0.023628144321236846,718,708.2829348800515,714.9345909857286
REL607,0.02404643102410891,-0.02404643102410891,705,701.0771544281839,708.3577771828064
REL607,0.024472122615127125,-0.024472122615127125,694,693.9446826349943,701.8414646905549
REL607,0.02490535018229423,-0.02490535018229423,683,686.8847736882166,695.3850969463725
REL607,0.025346247134250932,-0.025346247134250932,673,679.8966893631774,688.9881225075815
REL607,0.025794949241357907,-0.025794949241357907,663,672.979698945594,682.6499950043233
REL607,0.026251594677505093,-0.026251594677505093,655,666.1330791551743,676.3701730928958
REL607,0.02671632406266118,-0.02671632406266118,652,659.3561140699833,670.1481204095182
REL607,0.027189280506176233,-0.027189280506176233,642,652.6480950515814,663.9833055245163
REL607,0.02767060965085098,-0.02767060965085098,633,646.0083206709263,657.8752018969341
REL607,0.028160459717786277,-0.028160459717786277,629,639.4360966350288,651.8232878295635
REL607,0.028658981552026445,-0.028658981552026445,627,632.9307357143516,645.8270464243847
REL607,0.029166328669010762,-0.029166328669010762,620,626.491557670948,639.8859655384138
REL607,0.029682657301847097,-0.029682657301847097,615,620.1178891873352,633.9995377399675
REL607,0.030208126449422605,-0.030208126449422605,606,613.8090637960863,628.1672602653165
REL607,0.030742897925366015,-0.030742897925366015,601,607.5644218101404,622.388634975749
REL607,0.03128713640787672,-0.03128713640787672,594,601.3833102538221,616.6631683150199
REL607,0.03184100949043604,-0.03184100949043604,589,595.2650827945643,610.9903712672003
REL607,0.03240468773341604,-0.03240468773341604,583,589.2090996753228,605.3697593149066
REL607,0.03297834471660228,-0.03297834471660228,580,583.2147276476777,599.8008523979187
REL607,0.033562157092646046,-0.033562157092646046,572,577.2813399056209,594.2831748721801
REL607,0.03415630464146305,-0.03415630464146305,564,571.4083160200119,588.8162554691688
REL607,0.03476097032559513,-0.03476097032559513,563,565.5950418737002,583.3996272556485
REL607,0.03537634034655181,-0.03537634034655181,558,559.8409095973136,578.0328275937879
REL607,0.036002604202149624,-0.036002604202149624,553,554.1453175056938,572.7153981016442
REL607,0.036639954744866185,-0.036639954744866185,548,548.5076700349797,567.446884614015
REL607,0.037288588241227424,-0.037288588241227424,544,542.9273776803329,562.2268371436455
REL607,0.03794870443224625,-0.03794870443224625,544,537.4038569342973,557.054809842796
REL607,0.038620506594930853,-0.038620506594930853,542,531.9365302257818,551.9303609651623
REL607,0.03930420160488233,-0.03930420160488233,538,526.5248258596662,546.8530528281439
REL607,0.04,-0.04,532,521.1681779570234,541.8224517754637
Ara-1,0.01,-0.01,993,991.264969251096,1011.0212507944515
Ara-1,0.010177029011328716,-0.010177029011328716,984,982.6369487470778,1001.7206817618288
Ara-1,0.010357191949742633,-0.010357191949742633,976,974.0840269705715,992.5056703614149
Ara-1,0.010540544294843095,-0.010540544294843095,968,965.6055502584486,983.3754295329327
Ara-1,0.010727142508381356,-0.010727142508381356,961,957.2008706370987,974.3291794564193
Ara-1,0.010917044051645456,-0.010917044051645456,953,948.8693457729046,965.3661474856153
Ara-1,0.011110307403154938,-0.011110307403154938,947,940.6103389231537,956.4855680819751
Ara-1,0.011306992076668802,-0.011306992076668802,939,932.4232188873757,947.6866827492838
Ara-1,0.011507158639512226,-0.011507158639512226,934,924.3073599591006,938.9687399688715
Ara-1,0.01171086873122778,-0.01171086873122778,929,916.262141878039,930.3309951354244
Ara-1,0.011918185082556742,-0.011918185082556742,916,908.2869497826782,921.7727104933882
Ara-1,0.01212917153475651,-0.01212917153475651,906,900.3811741632927,913.2931550739606
Ara-1,0.012343893059259944,-0.012343893059259944,900,892.5442108153576,904.8916046326486
Ara-1,0.012562415777682757,-0.012562415777682757,893,884.7754607933783,896.5673415874224
Ara-1,0.0127848069821851,-0.0127848069821851,883,877.0743303651086,888.3196549574163
Ara-1,0.013011135156193569,-0.013011135156193569,874,869.4402309661807,880.1478403022102
Ara-1,0.013241469995490094,-0.013241469995490094,865,861.8725791551196,872.051199661657
Ara-1,0.01347588242967414,-0.01347588242967414,855,854.3707965687547,864.0290414962759
Ara-1,0.013714444644004856,-0.013714444644004856,851,846.9343098780186,856.0806806281811
Ara-1,0.013957230101629914,-0.013957230101629914,845,839.5625507441273,848.2054381825636
Ara-1,0.014204313566207808,-0.014204313566207808,834,832.2549557751458,840.4026415297093
Ara-1,0.01445577112493069,-0.01445577112493069,827,825.0109664829357,832.6716242275479
Ara-1,0.014711680211954759,-0.014711680211954759,822,817.8300292404622,825.0117259647275
Ara-1,0.014972119632245416,-0.014972119632245416,811,810.7115952394912,817.4222925042246
Ara-1,0.015237169585844574,-0.015237169585844574,808,803.6551204486426,809.9026756274623
Ara-1,0.01550691169256758,-0.01550691169256758,797,796.6600655718132,802.4522330789395
Ara-1,0.015781429017137274,-0.015781429017137274,795,789.7258960069607,795.0703285113856
Ara-1,0.016060806094763087,-0.016060806094763087,788,782.8520818052443,787.756331431404
Ara-1,0.016345128957172897,-0.016345128957172897,778,776.0380976305274,780.5096171456199
Ara-1,0.016634485159105764,-0.016634485159105764,769,769.2834227192229,773.3295667073278
Ara-1,0.016928963805273624,-0.016928963805273624,760,762.5875408404985,766.2155668636274
Ara-1,0.017228655577800345,-0.017228655577800345,749,755.9499402568206,759.1670100030416
Ara-1,0.01753365276414644,-0.01753365276414644,742,749.3701136848447,752.1832941036226
Ara-1,0.017844049285528227,-0.017844049285528227,736,742.8475582566474,745.2638226815336
Ara-1,0.01815994072584002,-0.01815994072584002,728,736.3817754812908,738.4080047401021
Ara-1,0.018481424361088364,-0.018481424361088364,724,729.97227120673,731.6152547193378
Ara-1,0.018808599189347356,-0.018808599189347356,720,723.6185555820423,724.8849924459279
Ara-1,0.01914156596124418,-0.01914156596124418,714,717.3201430199936,718.2166430836788
Ara-1,0.019480427210984426,-0.019480427210984426,705,711.0765521599257,711.6096370844189
Ara-1,0.019825287287926586,-0.019825287287926586,696,704.8873058309673,705.063410139354
Ara-1,0.020176252388715517,-0.020176252388715517,689,698.7519310155676,698.5774031308717
Ara-1,0.02053343058998481,-0.02053343058998481,681,692.6699588133426,692.1510620847824
Ara-1,0.020896931881637992,-0.020896931881637992,674,686.6409244052427,685.7838381230065
Ara-1,0.02126686820071898,-0.02126686820071898,666,680.664367018027,679.4751874166955
Ara-1,0.021643353465882118,-0.021643353465882118,663,674.7398298890463,673.22457113978
Ara-1,0.022026503612472412,-0.022026503612472412,659,668.8668602313384,667.0314554229504
Ara-1,0.02241643662822685,-0.02241643662822685,656,663.0450091990214,660.8953113080596
Ara-1,0.022813272589607633,-0.022813272589607633,652,657.2738318529904,654.815614702941
