experiment,background,x,s,tail_count,fitted_tail_count,requested_x_max
MNO,R,0.011156265437534502,-0.011156265437534502,302,424.61584881515324,0.15
MNO,R,0.011465646516520012,-0.011465646516520012,289,405.1147394613569,0.15
MNO,R,0.011783607227513227,-0.011783607227513227,282,386.509247327431,0.15
MNO,R,0.012110385497428178,-0.012110385497428178,276,368.75823987112,0.15
MNO,R,0.01244622585127269,-0.01244622585127269,270,351.8224736228595,0.15
MNO,R,0.012791379595124008,-0.012791379595124008,263,335.6645074273269,0.15
MNO,R,0.013146105004178756,-0.013146105004178756,254,320.2486196695008,0.15
MNO,R,0.013510667516017707,-0.013510667516017707,244,305.5407293022336,0.15
MNO,R,0.013885339929230195,-0.013885339929230195,241,291.5083205007539,0.15
MNO,R,0.014270402607546603,-0.014270402607546603,232,278.12037077751734,0.15
MNO,R,0.014666143689631882,-0.014666143689631882,226,265.3472823984919,0.15
MNO,R,0.015072859304696847,-0.015072859304696847,221,253.16081694925217,0.15
MNO,R,0.015490853794088858,-0.015490853794088858,212,241.534032906217,0.15
MNO,R,0.01592043993902744,-0.01592043993902744,205,230.44122607502865,0.15
MNO,R,0.016361939194655492,-0.016361939194655492,199,219.8578727643793,0.15
MNO,R,0.016815681930580976,-0.016815681930580976,195,209.76057556966785,0.15
MNO,R,0.017282007678089375,-0.017282007678089375,189,200.12701164662153,0.15
MNO,R,0.017761265384211574,-0.017761265384211574,186,190.93588336052628,0.15
MNO,R,0.018253813672837616,-0.018253813672837616,180,182.16687120196636,0.15
MNO,R,0.018760021113071398,-0.018760021113071398,174,173.80058886497594,0.15
MNO,R,0.019280266495027436,-0.019280266495027436,167,165.81854038829366,0.15
MNO,R,0.019814939113275754,-0.019814939113275754,166,158.20307926496983,0.15
MNO,R,0.02036443905814729,-0.02036443905814729,163,150.93736942992192,0.15
MNO,R,0.020929177515117598,-0.020929177515117598,162,144.00534803919734,0.15
MNO,R,0.021509577072492906,-0.021509577072492906,157,137.3916899586522,0.15
MNO,R,0.022106072037628884,-0.022106072037628884,149,131.08177388353903,0.15
MNO,R,0.02271910876191863,-0.02271910876191863,143,125.06165001410416,0.15
MNO,R,0.023349145974793067,-0.023349145974793067,138,119.31800921572919,0.15
MNO,R,0.023996655126983717,-0.023996655126983717,134,113.83815359544087,0.15
MNO,R,0.0246621207433047,-0.0246621207433047,132,108.60996842973509,0.15
MNO,R,0.02534604078521801,-0.02534604078521801,126,103.62189538165954,0.15
MNO,R,0.026048927023453176,-0.026048927023453176,122,98.86290694793976,0.15
MNO,R,0.026771305420960356,-0.026771305420960356,116,94.3224820796601,0.15
MNO,R,0.027513716526483295,-0.027513716526483295,113,89.99058292259957,0.15
MNO,R,0.02827671587904675,-0.02827671587904675,110,85.85763262580211,0.15
MNO,R,0.029060874423660916,-0.029060874423660916,104,81.91449416932227,0.15
MNO,R,0.02986677893855401,-0.02986677893855401,100,78.1524501643368,0.15
MNO,R,0.030695032474252742,-0.030695032474252742,96,74.56318358096601,0.15
MNO,R,0.03154625480483923,-0.03154625480483923,92,71.13875936119884,0.15
MNO,R,0.03242108289172187,-0.03242108289172187,86,67.87160687627102,0.15
MNO,R,0.033320171360267346,-0.033320171360267346,79,64.75450318971451,0.15
MNO,R,0.0342441929896505,-0.0342441929896505,75,61.780557089075444,0.15
MNO,R,0.035193839216288464,-0.035193839216288464,73,58.943193850999585,0.15
MNO,R,0.03616982065123578,-0.03616982065123578,68,56.236140706003184,0.15
MNO,R,0.037172867611927736,-0.037172867611927736,67,53.65341297079645,0.15
MNO,R,0.038203730668669916,-0.038203730668669916,64,51.18930081749956,0.15
MNO,R,0.039263181206282534,-0.039263181206282534,63,48.83835665050263,0.15
MNO,R,0.04035201200132032,-0.04035201200132032,59,46.595383063061846,0.15
MNO,R,0.04147103781529951,-0.04147103781529951,54,44.45542134700641,0.15
MNO,R,0.04262109600437591,-0.04262109600437591,52,42.413740530154755,0.15
MNO,R,0.043803047145930404,-0.043803047145930404,49,40.46582691720306,0.15
MNO,R,0.045017775682530736,-0.045017775682530736,47,38.607374110963804,0.15
MNO,R,0.046266190583751234,-0.046266190583751234,43,36.8342734918944,0.15
MNO,R,0.047549226026345884,-0.047549226026345884,41,35.14260513486665,0.15
MNO,R,0.048867842093283764,-0.048867842093283764,39,33.52862914309755,0.15
MNO,R,0.05022302549216988,-0.05022302549216988,38,31.98877738008186,0.15
MNO,R,0.05161579029358881,-0.05161579029358881,37,30.51964558124783,0.15
MNO,R,0.053047178689923855,-0.053047178689923855,36,29.11798582789719,0.15
MNO,R,0.05451826177521954,-0.05451826177521954,34,27.780699366789833,0.15
MNO,R,0.056030140346670906,-0.056030140346670906,31,26.504829759500282,0.15
MNO,R,0.057583945728339365,-0.057583945728339365,30,25.287556346399825,0.15
MNO,R,0.05918084061771143,-0.05918084061771143,30,24.126188010814893,0.15
MNO,R,0.06082201995573401,-0.06082201995573401,27,23.01815722957583,0.15
MNO,R,0.06250871182097721,-0.06250871182097721,26,21.96101439680264,0.15
MNO,R,0.0642421783485935,-0.0642421783485935,25,20.952422408379764,0.15
MNO,R,0.0660237166747612,-0.0660237166747612,24,19.990151495146332,0.15
MNO,R,0.06785465990731891,-0.06785465990731891,23,19.072074293380116,0.15
MNO,R,0.06973637812331723,-0.06973637812331723,21,18.196161141676644,0.15
MNO,R,0.0716702793942341,-0.0716702793942341,21,17.36047559382602,0.15
MNO,R,0.07365781083962088,-0.07365781083962088,21,16.563170137767802,0.15
MNO,R,0.07570045970996801,-0.07570045970996801,20,15.802482111158712,0.15
MNO,R,0.07779975449960012,-0.07779975449960012,20,15.076729804524323,0.15
MNO,R,0.07995726609043351,-0.07995726609043351,19,14.3843087433791,0.15
MNO,R,0.08217460892745167,-0.08217460892745167,19,13.723688141095545,0.15
MNO,R,0.08445344222677892,-0.08445344222677892,17,13.093407514680674,0.15
MNO,R,0.08679547121725582,-0.08679547121725582,16,12.492073455977744,0.15
MNO,R,0.08920244841644527,-0.08920244841644527,15,11.91835655115554,0.15
MNO,R,0.09167617494202426,-0.09167617494202426,12,11.370988441674553,0.15
MNO,R,0.09421850185954304,-0.09421850185954304,12,10.848759020232526,0.15
MNO,R,0.09683133156755919,-0.09683133156755919,12,10.350513755490564,0.15
MNO,R,0.09951661922118422,-0.09951661922118422,11,9.875151139664933,0.15
MNO,R,0.10227637419510718,-0.10227637419510718,8,9.421620253342063,0.15
MNO,R,0.10511266158719003,-0.10511266158719003,6,8.988918442133055,0.15
MNO,R,0.1080276037637604,-0.1080276037637604,6,8.576089100031174,0.15
MNO,R,0.11102338194775797,-0.11102338194775797,6,8.182219554571939,0.15
MNO,R,0.114102237850922,-0.114102237850922,6,7.8064390491204385,0.15
MNO,R,0.11726647535124286,-0.11726647535124286,5,7.447916817824931,0.15
MNO,R,0.12051846221693123,-0.12051846221693123,5,7.10586024898119,0.15
MNO,R,0.12386063187819643,-0.12386063187819643,4,6.779513132746957,0.15
MNO,R,0.1272954852481582,-0.1272954852481582,4,6.468153989332717,0.15
MNO,R,0.13082559259425625,-0.13082559259425625,4,6.17109447397279,0.15
MNO,R,0.13445359546155577,-0.13445359546155577,4,5.887677855150493,0.15
MNO,R,0.13818220864939063,-0.13818220864939063,4,5.6172775627129985,0.15
MNO,R,0.14201422224282106,-0.14201422224282106,3,5.359295802666209,0.15
MNO,R,0.14595250370042698,-0.14595250370042698,3,5.113162235587248,0.15
MNO,R,0.15,-0.15,2,4.878332715732711,0.15
MNO,S,0.01,-0.01,285,339.5745656638738,0.2
MNO,S,0.010307224065220867,-0.010307224065220867,272,327.40536626067075,0.2
MNO,S,0.010623886793066825,-0.010623886793066825,267,315.67226964339125,0.2
MNO,S,0.010950278161968051,-0.010950278161968051,260,304.3596473689811,0.2
MNO,S,0.011286697059189969,-0.011286697059189969,255,293.4524310647188,0.2
MNO,S,0.011633451554534045,-0.011633451554534045,249,282.9360923571959,0.2
MNO,S,0.011990859182447447,-0.011990859182447447,246,272.7966235205749,0.2
MNO,S,0.012359247232799695,-0.012359247232799695,244,263.0205188183503,0.2
MNO,S,0.01273895305059275,-0.01273895305059275,241,253.59475651375286,0.2
MNO,S,0.013130324344878838,-0.013130324344878838,233,244.5067815248446,0.2
MNO,S,0.013533719507169063,-0.013533719507169063,227,235.74448870119258,0.2
MNO,S,0.013949507939624208,-0.013949507939624208,218,227.29620669985235,0.2
MNO,S,0.014378070393328427,-0.014378070393328427,212,219.15068243918017,0.2
MNO,S,0.014819799316955443,-0.014819799316955443,201,211.29706610976905,0.2
MNO,S,0.0152750992161467,-0.0152750992161467,192,203.7248967225399,0.2
MNO,S,0.015744387023930367,-0.015744387023930367,188,196.4240881747419,0.2
MNO,S,0.01622809248252063,-0.01622809248252063,186,189.38491581529922,0.2
MNO,S,0.01672665853684665,-0.01672665853684665,185,182.59800349161105,0.2
MNO,S,0.017240541740171793,-0.017240541740171793,177,176.05431106054792,0.2
MNO,S,0.01777021267217436,-0.01777021267217436,166,169.74512234701473,0.2
MNO,S,0.018316156369872844,-0.018316156369872844,158,163.66203353403614,0.2
MNO,S,0.01887887277179019,-0.01887887277179019,155,157.79694196890136,0.2
MNO,S,0.01945887717576389,-0.01945887717576389,154,152.14203537046066,0.2
MNO,S,0.020056700710821065,-0.020056700710821065,149,146.6897814231936,0.2
MNO,S,0.020672890823550744,-0.020672890823550744,145,141.432917744192,0.2
MNO,S,0.02130801177941859,-0.02130801177941859,143,136.36444220969165,0.2
MNO,S,0.0219626451794833,-0.0219626451794833,142,131.47760362826816,0.2
MNO,S,0.022637390492987748,-0.022637390492987748,138,126.76589274827398,0.2
MNO,S,0.02333286560631255,-0.02333286560631255,133,122.2230335875387,0.2
MNO,S,0.0240497073887949,-0.0240497073887949,126,117.8429750737823,0.2
MNO,S,0.02478857227593069,-0.02478857227593069,122,113.61988298460895,0.2
MNO,S,0.025550136870493977,-0.025550136870493977,116,109.54813217634329,0.2
MNO,S,0.02633509856212426,-0.02633509856212426,112,105.62229909135891,0.2
MNO,S,0.027144176165949066,-0.027144176165949066,106,101.8371545339193,0.2
MNO,S,0.02797811058082649,-0.02797811058082649,104,98.187656704907,0.2
MNO,S,0.028837665467810556,-0.028837665467810556,103,94.66894448616547,0.2
MNO,S,0.02972362794946059,-0.02972362794946059,100,91.27633096550714,0.2
MNO,S,0.030636809330635176,-0.030636809330635176,95,88.00529719376253,0.2
MNO,S,0.03157804584143061,-0.03157804584143061,92,84.85148616555628,0.2
MNO,S,0.03254819940294415,-0.03254819940294415,90,81.81069701579148,0.2
MNO,S,0.03354815841656336,-0.03354815841656336,88,78.87887942411204,0.2
MNO,S,0.034578838577504385,-0.034578838577504385,87,76.05212821989082,0.2
MNO,S,0.03564118371334409,-0.03564118371334409,80,73.3266781805556,0.2
MNO,S,0.03673616664831385,-0.03673616664831385,74,70.69889901632642,0.2
MNO,S,0.03786479009414649,-0.03786479009414649,73,68.16529053468223,0.2
MNO,S,0.03902808756829234,-0.03902808756829234,71,65.72247797811715,0.2
MNO,S,0.04022712434034502,-0.04022712434034502,70,63.367207528975165,0.2
MNO,S,0.04146299840754365,-0.04146299840754365,63,61.096341975376646,0.2
MNO,S,0.04273684150024484,-0.04273684150024484,59,58.90685653246334,0.2
MNO,S,0.04404982011828538,-0.04404982011828538,57,56.79583481339552,0.2
MNO,S,0.045403136599184137,-0.045403136599184137,57,54.76046494473541,0.2
MNO,S,0.0467980302191621,-0.0467980302191621,55,52.79803582104113,0.2
MNO,S,0.04823577832798813,-0.04823577832798813,55,50.90593349368448,0.2
MNO,S,0.04971769751868987,-0.04971769751868987,54,49.08163768908039,0.2
MNO,S,0.0512451448332012,-0.0512451448332012,53,47.32271845169139,0.2
MNO,S,0.052819519005050025,-0.052819519005050025,53,45.62683290733555,0.2
MNO,S,0.05444226174022428,-0.05444226174022428,49,43.99172214248628,0.2
MNO,S,0.05611485903738933,-0.05611485903738933,46,42.41520819540773,0.2
MNO,S,0.0578388425486656,-0.0578388425486656,43,40.8951911551173,0.2
MNO,S,0.059615790982212674,-0.059615790982212674,43,39.429646364311786,0.2
MNO,S,0.061447331547904,-0.061447331547904,42,38.01662172253086,0.2
MNO,S,0.06333514144741619,-0.06333514144741619,39,36.65423508596642,0.2
MNO,S,0.06528094941009757,-0.06528094941009757,37,35.340671760453574,0.2
MNO,S,0.06728653727602237,-0.06728653727602237,36,34.07418208430447,0.2
MNO,S,0.0693537416276799,-0.0693537416276799,35,32.85307909776508,0.2
MNO,S,0.0714844554717933,-0.0714844554717933,34,31.675736295991,0.2
MNO,S,0.07368062997280773,-0.07368062997280773,30,30.540585462548563,0.2
MNO,S,0.07594427623963579,-0.07594427623963579,29,29.44611458055617,0.2
